[20230731-10:13:40:004] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:14:22:969] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:21:22:089] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:21:23:073] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:21:23:824] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:21:24:604] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:21:25:356] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:21:43:398] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:22:27:987] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:22:59:885] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
[20230731-10:23:24:420] | keyword.log | warn | addKeyword | data:{"user_id":"644b6ff6a9635404978b199f:","username":"hoangsa"}
